10	teachers' knowledge on how to deisgn and grade a project. 
11	"When i was in the 6th grade, for fun, our teacher assigned the class to design a volcano that had to shoot up as far as possible into the air, made with paper mache, glue, and other accessible materials. There wasn't much instruction on how to do the volcano, as long as we were the ones building it, and the idea/design was original. Most kids' volcanoes looked pretty amateur, with varying degrees of success. However, the kid whose volcano shot up the highest, was disqualified for copying his design and materials exactly from a project someone had shared on the internet.  If a student can plagiarize someone's work from a project loosely designed by a teacher, then even more students can plagiarize a project that ""they themselves"" designed. "
12	Often times throughout middle school, my teachers would give the students each other's assignments to grade themselves. And afterwards, we would see in the grade book that the grade changed because the students weren't grading the assignments the way they should have been. The student grading was meant to engage the classroom, but it turned into a showcase of how students dont really know how to grade the way teachers do. If students are unaware of how a project is supposed to be graded, they can not successfully design a project that tests whether or not they understand the material. 
13	"Some people may say, ""but allowing students to design their own projects will allow them to focus more on their work during the summer."" "
14	Whenever I'm given a summer assignment, I know for a fact it I won't even look at the assignment until maybe about a few days before the first day of school. Which would lead to me rushing a lazily put together assignment and a not so good grade. Giving students the opportunity to design their own assignments will lead to students rushing their projects, and justifying it by claiming that the level of quality meets the standards of their assignment. 
15	Have you ever been bored in a class room such as your highschool english classes? Well do to a brand new algorithum made by Dr. Paull Eckman, creator of the FACS(Facial Action Coding System), you can finaly be exited about learning about greek and latin roots. This program can detect how you are felling and in what precentages 
16	In the more populated citys, people are using more bikes and less cars. Its easier to get around a city where there are thousands of people on the streets alone. 
17	This is a place for clean air and no pollution from the car fumes. As of right now, this experiment seems to be running quite nicely. 
18	Have you ever ever been required to do a summer project that your not intreasted in? Certain schools in America require students to complete summer projects to ensure they are still learning over break. Students are often assined teacher designed projects. While most students complete these over summer projects many students don't due to lack of intrest in the assined topic. 
19	To improve student input schools should move towards student designed projects so students will be more intrested and and involved in the project. 
20	While a summer project is not something most students would like to do over there break, teachers could allow there students to choose a topic or unit to base there project on. 
21	Students can use this to there advantage and choose a topic they were intreasted. Students could learn and still enjoy working on the project. Students also have an easier time working on topics that they have knowledge on allowing them to complete there work easily. Students can take advantage of being able to design there own project and choose a topic or unit that they struggled on through out the year. Working on these weak points can strengthen your skills for next school year. Students can go back and look at past notes and worksheets helping improve there skills in that topic. 
22	Students being able to design there projects could allow the student to create something they enjoy doing over the summer with friends and family, rather then students thinking of it as another teacher assined project that is boring 
23	 Overall schools that require summer break projects should move towards student designed projects over teacher designed ones. When students have the ability to choose from certain topics and units they can decide what is best for them. Using the project to work on material that they were intrested in through out the year and want to further research and learn about or use the oppurtunity to study material that the student had trouble with over the school year so that they can be caught up for next year. Furthermore students can create projects that will help them with future cirriculum for next year. In conclusion schools should use student designed projects because it allows the student to choose how they want to utilize the time for either further studying a topic, going back and reviewing areas they had trouble in or learning future topics for next school year. 
24	Almost every student knows the dread of going back to school. The easy and laid back summer fads out and suddenly it's back to the old grind. The sleeping in till noon goes back to waking up at six, bathing suits get put back in the closet, and the sun tans fade. Yet, almost every student can relate to the one thing that always keeps them tied to school during the summer, the dreaded summer assignment. It could be a book report or a math packet, either way it burns in the back of their minds while they cannonball into pools. It seeps into thoughts while they try to fall asleep. 
25	If teachers gave students the opportunity to discover their own work, and maybe even a passion, students work would be of a higher quality and it might actually have them excited to go back to school. 
26	When students have the ability to decide what they will study in a project, they are more excited and more willing to get the work done. 
27	Now, this assignment can not be a free for all, that would not be completely fair. There may be some students who go above and beyond while some may do the bare minimum and call it done. 
28	To avoid this scenario teachers could implement some sort of rubric or guidelines for what the student chosen project would have to include and how they will go about grading it. This way the playing field is level and everyone has the opportunity to succeed. 
29	With a student chosen project, students may feel more inclined to do their work because working on something that interests them won't feel like such a chore. 
30	The end of summer is not fun for anyone involved, students and teachers alike. Why would we want to dampen the vacation with unexciting work looming over students heads the whole time. Students should feel excited to go back to school and be they should have something to look foward to sharing with their classes. It is common knowledge that doing work that is uninteresting to you lowers your performance and makes the work that much more of a chore. With student selected summer assignments we can prevent that and create a new wave of excitement about returning to school.  
31	Many students have a lot of things to do at home and they're already busy with other things. Students have a lot of homework to do from different teachers. For an example students are given a lot of homework and have chores to do at home like cleaning clothes, taking care of their pets, cleaning the house or taking care of their siblings. Some students are already tired from school and might not want to participate in any other activity because they have to wake up early for school and have to do school work really early even though science say that the human brain starts working correctly when it's ten in the morning so that means the human brain of a middle school might not work so well at six or seven in the gosh darn morning. 
32	How much value would come out of going to Venus? Scientists have tried many times to study Venus. Unfortunatley, they've always come out as failures. People could argue that the effort of studying Venus is useless and ineffective. However, scientists have little to no knowledge of how the planets in our solar system were made. Scientists could have more knowledge of Venus if they found a way to study the planet. 
33	Students may also use this feature in art classes to really capture what the artist was depicting in the work. For instance, this new software was able to create percentages of Mona Lisa's emotions. The latest innovation in computer software may be very useful for art classes, knowing how a person may be feeling in a painting may help students to depict the artists work, a bit better. As humans, we can tell how someone may be feeling by the look on their face, or the look in their eyes. Most of us would have trouble trying to describe what facial expressions convey being happy, besides a smile. The computer can make exact percentages on each emotion you may be feeling. 
34	You may like soccer, art, or even debate. The possibilities are endless to any activity that you could join at your school. Extracurricular activities are important to every school. Though every school has different activities, each and every one of them play a key role. Students may wonder why their principal would make them have to stay after a long day of learning. Students may think that extracurricular activities aren't interesting, but they may not realize how many options their school has to offer. Our principal should start putting up sheets that inform you on what activities we have and a brief explanation about them. 
35	Every student matters and can make a difference. A good way to be involved at school is to join an extracurricular activity. For example, if someone joined the SCA then they would be involved by organizing school dances and events. Giving ideas to the student council is another way to be a part of your school. Say you thought that the dress code needed to be adjusted, you could join a club and talk about it. These clubs can be used to spread awareness for bullying. Someone could of been bullied and they want to feel part of something so they join a club for bullying awareness. Students should encourage others to be part of something at their school. There are numerous ways to be involved at your school, all you need to do is put yourself out there.  
36	If you are generally a shy person then a club or sports team will help you meet new people. For instance, if you get on a sports team you and your team will become one big family. You all will work together during games which will create a bond. Another example is if you join an art club you will have something to talk about because you both will like art. Sometimes it can be hard to open up to people and make friends but trust me doing an activity will help that tremendously. When I first joined JV soccer I was really intimidated by all the big kids, but then I talked to them and they seemed really nice and talked to me. This goes to show that extracurricular activities can help you make friends that you would of never made if you didn't join that club. 
37	Even if you have no experience with an of the choices, but it sounds interesting to you then you should go for it. Trying out new things is good and you never know how good you'll be at it. If you try photography for the first time you could like it so much that you do it again next year. Also, you could join the tennis team and realize that you're really good at it and end up becoming a famous tennis player. However, not everyone is going to like the choices that they have. Well, our school could have an option that students get to create a club that they would like. This solves the problem because other students could like the same thing as their peers so they would want to join that club. Someone could want to create a club for ROTC and another student may want to be in the military so they join that club. Instead of joining a random club because you have to, try to actually find one that you enjoy. There are many choices for students because the principal want everyone to be able to do an activity that they like. 
38	I agree with Dr. Hung that the software would be useful to help decipher mixed emoitions. 
39	"""We have to join a club?"" Generic_Name said shocked, ""Like, we have to?"". Generic_Name looked confused and slightly angry. ""Yes Generic_Name, you do have to join a club, it's a requirement for the new year."" said Principal Generic_Name. Generic_Name looked down than looked back up at his principal, ""Great."" Generic_Name said sarcastically. Generic_Name spent that school day looking around and asking about the different clubs the school offers. While Generic_Name was looking, one club caught his eye. The gaming club. When Generic_Name was out of school he always played video games, it was his favorite pass time! Since the gaming club was the only club that sounded remotely appealing to Generic_Name, he signed up. His first day in the club, he was skeptical, but he quickly realized the club was far better than he expected. 2 weeks passed since Generic_Name joined and he already made plenty of new friends and learned about many new games that he grew to love. "
40	having students join and participate in an extracurricular activity can help them meet new people and make new friends. 
41	"Joining an extracurricular activity such as a club or a sports team can be very beneficial to students. Having students join clubs can help shy students talk to new people and make more friends. Even someone who is frequently talkative and already has a lot of friends can meet and talk to new people who share the same interests as them in the club. Having friends who share your interests is something that every student wants, and joining an extracurricular activity can help students achieve that. It was only Generic_Name's first day in the club when he met two people who would later become his best friends. ""Hello,"" said a voice Generic_Name has never heard, ""My name is Generic_Name."". Generic_Name looked at Generic_Name and shook his hand, ""Hey Generic_Name, i'm Generic_Name. Nice too meet you"". The person standing behind Generic_Name introduced himself next. ""Sup Generic_Name. My name's Generic_Name, I'm Generic_Name's Friend."" he said. ""Nice too meet you as well Generic_Name."" Generic_Name replied. Generic_Name, Generic_Name and Generic_Name quickly became good friends because of their similar interests. "
42	requiring students to join an extracurricular activity can introduce students to something they've overlooked in the past, or something completely new. 
43	"Students have their interests, they either like something, or they don't. Something might not come off as interesting to them at first glance. They might only start to realize something is interesting to them when they take another look. If schools do an event that shows off each different club, students will get that ""second glance"" that they need. For example, my older brother wanted to join a club in high school. He looked through the website and found that nothing sounded interesting to him. He decided to look again, this time actually reading the descriptions of each club. He eventually found the art club. He read the description, thought it sounded interesting and signed up. "
44	"ubs and sports are very social activities. If they're in a club, students are basically required to socialize with others. This for the most part is a very positive benefit, allowing students to talk to others who share similar interests with them. Students may even spend time outside the clubs with the people they've met. For example, my cousin Generic_Name's mom, forced Generic_Name to join a club. She said Generic_Name wasn't socializing enough and spent to much time time on his computer. Generic_Name asked around to find a club that was preferably easy. He eventually found the computer club which aligned with his interests, and his want to spite my aunt by ""playing on computers"" in his club. Despite that my aunt got her wish and Generic_Name became more social outside of school with his new club.  Generic_Name had spent his entire 10th grade year in the gaming club. Now that summer was approaching for the first time in his life he felt sad about leaving during the summer. Generic_Name never thought by joining a club his perception about school would change this drastically. The next day Generic_Name and his club talked about meeting up over the summer, everyone was ecstatic about the idea. Generic_Name, Generic_Name, and Generic_Name all have met up before outside of the club before, but the entire club has never got together like this. School ended just as fast as it started and the day quickly approached when the club would get back together again. "
45	schools should make it so all students have to participate in an extracurricular activity such as a club or a sport because it helps students make new friends and build relationships, it can introduce students to something they've overlooked in the past, and it can increase social activity among students. 
46	"According to the article ""Making Mona Lisa Smile,"" there is a new technology called the Facial Action Coding System (FACS) that enables computers to identify human emotions. This technology is relatively brand new. It creates a 3-D computer model of all fourty-four major muscles in the face that move like human muscles as well. Then, psychologists have classified six basic emotions that are associated with different movements in the facial mucles. This new technology could result in many benefits in our community as well as all around the world "
47	The use of the Facial Action Coding System to read the emotional expressions of students in a classroom is valuable 
48	it would allow teachers to know when students become confused 
49	are being dishonest 
50	or are depressed and possibly having problems at home. 
51	In the classroom, it is common for students to tend to get confused while being taught a lesson. It is also common for students to get bored and become uninterested in the lesson at hand. With the Facial Action Coding System, teachers can make sure that their students are acquiring the best education possible and absorbing all of the material. 
52	"Teachers can adapt their teaching style according to how students respond to the lesson being taught. This way, both the students and teachers can be on the same page, making education easier for students and teachers. The article states,""'A classroom computer could recognize when a student is becoming confused or bored,' Dr. Huang predicts. 'Then it could modify the lesson, like an effective human instructor,'"" (D'Alto). In this quote, Dr. Huang is telling the reader how this new technology could possibly develop into something much bigger where it can modify the lesson for students who become bored or confused, making it an easier and better experience for the student. "
53	The technology could be able to detect if a student is being dishonest, which could prove very handy when dealing with situations with delinquents and trouble-makers. 
54	Just before the bell rings to dismiss students for year, teachers are struggling to keep the attention of students when explaining their summer assignments for the break. The students know that the summer assignments are important, but their attention is on the bell that declares summer vacation. Summer assignments are designed to ensure that students continue their intellectual journey over breaks. Both teacher-designed projects and student-designed projects accomplish this goal, however, one of the biggest challenges is deciding whether teacher-designed projects or student-designed project would do a better job at accomplishing this goal 
55	 Summer projects should be teacher-designed because teachers have a better understanding of the material, 
56	the project will be less stressful for students 
57	teacher-designed projects will prevent misjudgment of students by teachers.  
58	Teachers should design summer projects because they have a better understanding of the material they are trying to teach. 
59	They also tend to have a clear understanding of what they expect from students for the projects they assign. By assigning teacher-designed summer projects, the teacher can guide the students to learn what the teachers want them to discover. They also provide a more specific rubric so the students know exactly what is expected of them. For example, AP Biology has a lot of material that needs to be covered in just one year. To solve this issue, they assign a teacher-designed summer assignment that consists of an introduction to each unit learned throughout the year. This way, students are prepared when going in depth with all of the concepts in class because they already have a grasp of the topic learned during break. By assigning teacher designed projects, teachers can guide the students to ensure that what they are learning and exploring can help them perform better in class. 
60	Another reason teachers should design the summer project, is that the project will be less stressful to students overall. 
61	Although teachers are expected to be unbiased, they will always have personal beliefs that may clash with a student's beliefs. During student-designed projects over the summer, students do not know the personal beliefs and preferences of their teacher because many students have not spent much time with their future teacher. Student-designed projects are often stressful in this situation because students do not always know the teacher's expectations. Students do not want to receive a lower grade on their project because of the biases of the teacher. Students also feel anxious because they never know if their project is unique enough to get a good grade and if the teacher will find it as interesting as the student. For example, many science classes require students to conduct experiments in a field they find interesting. Not only is this assignment very vague, but it is also unfair. There are many different ways a student could take this project and some projects require more time and effort than others. For example, testing to see the effects of personal care products that get into waterways on marine life requires a lot more time, effort, and materials compared to testing which brand of paint needs the least amount to coats to adequately cover the walls. Both of the projects meet the criteria, but one project may be considered better than the other by a teacher. This gives many students anxiety because they never know if their project is good enough. Student-designed projects are too stressful and often end up diminishing the quality of the student's summer break by giving them anxiety.  
62	Some teachers may argue that student-designed summer projects are an outlet for students to show their creativity. They believe that students can showcase their intellectual level by completing student-designed projects and the teachers can get a better understanding of their students' beliefs and preferences through student-designed projects 
63	However, student-designed projects are not always the best reflection of the students and their work ethic. 
64	However, with teacher-designed projects, students can work with their future teacher to plan ahead to complete the assignment or complete a different assignment entirely depending on their situation. Students would not be forced to settle for something that is not a true reflection of their work ethic because of their circumstances. 
65	Teacher-designed projects are the best way for schools to ensure that students continue learning material for classes during break without causing anxiety in students or misjudgment of students by teachers. Summer projects are meant to help students but student-designed projects can sometimes harm students instead. Every student should be allowed to spend their summer without stressing about how they will be perceived by their fellow classmates and teachers the next year. Summer projects should encourage students to continue to learning while also spending quality time with their family and friends during their break. 
66	Growing up in a constantly changing environment, students have had to learn to adapt to the world around them. In school, students are taught to be open and ready to learn, while still facing the ups and downs in the journey of childhood to adulthood. Students make close bonds with their friends and even a few choice teachers. Students choose to whom they share their emotions with and at what time they wish to do so 
67	Emplimenting a computer system in schools that is capable of reading a students emotions is inappropriate, lazy, and dangerous. 
68	In school, students are faced with one major task: to learn. Teachers are faced with the task of teaching. A teacher's job is to engage students and the students job is to stay engaged with the teacher. 
69	Emplementing facial reading teachnology is innappropriate and dangerous to the privacy of students, and it threatens the basic principles school systems were founded upon. 
70	"Furthermore, this technology could be used in the wrong situations. The article stated that a smart school computer could tell when students are getting bored or confused and change the lesson, ""' A classroom computer could recognize when a student is becoming confused or bored,' Dr. Huang predicts. Then is could modify the lesson, like an effective human instructor.'"" This example puts teachers in an awkward position. Letting a smart, facial reading technology teach students would mean the teachers aren't teaching "
71	Giving power to technology is complacent, instead of working with people to improve learning habits or teaching methods, adults would be taking the easy way out. 
72	Their job is to connect and work with students. When introducing a computer system, students may realize they are just another task to be completed in the work place. Every year, students are analyzed to see where they place on the national benchmark for their education, they take standardized tests to see how much they know, they do hearing tests and eye tests, but a computer has yet to analyze them to see how happy they might be. If computers are introduced to read emotions, students may feel like they are just a number or rank of emotions. If students go to their counselors, they want to be talked to and connected with. Bringing in a computer can divide the connection from child to adult. The child may feel alienated and refuse to converse with the adult. This computer may seem like a helpful tool, but it destroys the importance of human connection. 
73	The age of computers is inescapable, but it doesn't have to be. Instead of computer analyzed emotional connection, people should put their phones down and ask each other how they are. Not every person wants their emotions analyzed, especially in schools. Students bonds with teachers are simply student to teacher; a child must trust an adult before they talk about their feelings. Computer facial technology might be helpful, but not in schools. This technology falls flat in the category of connection. Don't take the easy way out, instead of analyzing emotions with a computer, ask someone how they are. If a student looks upset, sit down and talk with them. Show someone they are valuable and deserve one on one human interaction 
74	Students often moan and groan about summer projects that their teachers assign them to do over summer break to assure they continue learning over the period they are not in school. The projects most of the time, have a set rule book to follow that was issued by the teacher and it makes the project boring and not enjoyable for the students to do, basically being a burden the students have to over come during their relaxing summer break. 
75	Having the project be more student-designed, students would not have to struggle with limitations and can be more creative and use their own ideas for a better outcome of the project. 
76	Teachers often put a strict instructional guide or manual on what to do and what not to do, during the assignment and limits what students can do and blocks any originality. However, having a student-designed project will unleash a wave of ideas and flow of creativity between each student that would not normally be received from a common project. The whole outcome of the entire project will be changed drastically because of the freedom students will have on their own projects and in which, in the end, will satisfy them. During research projects, teachers also frequently limit the student on what they can look up and use. If the project was student-designed, students can freely look up and use what interest them and learn about something that will make them more engaged into the project. They can not be held by idea blocking rules that will make the project disengaging, they can have creativity run free throughout the entire assignment and it will show. Overall, a student-designed project will make a more standout project due to the original ideas students will leave throughout the project. 
77	The sound of a project over the summer break already sounds boring and a headache of a time for any person in school to do but students will always be more engaged in a project that will allow their own unique spin on it and uses a piece of mind from them. 
78	"The thought of a project is always a dreadful one that all, will have a hard time to get them self to do it but a student-designed project will make it at least, a more enjoyable experience. Students can utilize their brain and knowledge to make it a project to remember and have fun while thinking of an idea to blow teachers and fellow classmates away once they return from break. For example, a science fair allows students to show a unique idea with experiments, this causes fun competition and a enjoyable process on how the project is going to ""wow' the judges. Speaking of competition, if the project would also have an incentive to try to achieve the best project, students would even be more thrilled. The student-designed project will show a big amount of their own ability to the assignment and make them strive for the number one spot. This would heighten the accomplishment of the project and give them a sense of excitement for their own unique project to compete with classmates. In the end, rather than having a normal boring project, students who have a chance to design their own project, will have a lot more fun and excitement in the process of doing the project, in which, will still allow them to learn and not interrupt with their fun and relaxing summer break. "
79	Projects also have a based way of learning, a way teachers think it's best for our generation to learn, but they are not our generation, they do not know what is best for us, they just think it; by allowing students to freely design their project, they can learn in their own ideal way. 
80	When teachers assign projects that are related to the class, it is reasonable because it help us understand the subject more, but when they assign a regular project, especially one over summer break, it is often a misguided project on what they think students want to learn but does not really aid them. Giving the chance for a student to do something they want to learn about, will get them more engaged and give them their ideal way of learning. They would not have to worry about what teachers think they should learn but rather what they want to learn and will aid them in the future. Students who do a project about what they want to learn will make doing a project like that more enjoyable over a summer break rather than a set learning experience. They will gather more information to aid them in what they want to do, instead of being given something they think they should do, this will make the learning experience way beneficial for them and not waste their time in the long run. They can continue to learn educational information for them and gain more knowledge that matches their learning style and will satisfy what they have learned. Therefore, students would have a better learning experience if they could do projects their own way and had design freedom and not be held down by a set learning path.  
81	Projects being put out during summer break will always be a boring and overbearing thing to complete and in some cases even ruin summer break for them overall just to learn information that teachers assign. Having the project be student-designed, however, will change the entire assignment in all, giving more creativity, better pacing, more enjoyment, and a better learning experience for students all around, it will benefit them rather than a teacher-designed project. All projects, even ones put out over summer break, should be student-designed because the outcome will have more uniqueness with student's ideas, the project overall will be more fun, and students will learn in their own learning way.         
82	Summer projects are given to students so they can continue to learn and not fall behind in the coming school year. But would it help if the summer projects are created by teachers? Well yes, teachers have been teaching and making projects for a long time and they would know what they are doing. As a high school student I could prefer that my teacher makes the projects verse some student who not much of an expert on the topic.  
83	they have more experience, 
84	the project can be less confusing, 
85	the project can give the student an insight of what the class will be like. 
86	With so much experience and training they would know how to design a project that will allow the students to continue to learn through out the summer. For example, I am taking AP chemistry and there was a summer assignment. This assignment was created by the teacher and it was easy to comprehend and do. This made my experience with working on the project much more productive and less time consuming. 
87	Many of the projects that I have done were mostly teacher-designed and they were easy to understand and finish without too many hurdles. If there were to be any confusion it would be much easier to contact the teacher about a question than a student. When there are less mistakes in the project it would be more time effective and one would be able to finish the project faster.  
88	This would help students to be prepared for the coming year and they would also know what to expect. For instance, when I had received a summer project for AP statistics as I was doing the project I was able to understand more about what statistic is and how the class work would be like. However, if a student were to create the project it might not have given a picture of how the class would be like through out the year. 
89	schools should have summer projects that are designed by teachers. This way students would be more benefited due to the teachers knowledge on the topic. When the teachers do create the project there will be more clarity on what the student should do. The students will also be able to get a feel of the class in the coming year.  
90	It's 9pm, you haven't finished your homework. You would've finished your homework, if you had the choice to go straight home. However, the extra curricular you have to participate in, took too much time. That's the view of a student, if they would have to participate in a extracurricular activity. Students would have no time to play their Xbox, and have no time to finish that 8 paragraph essay, if they had to participate in a extracurricular activitiy 
91	Extracurricular activities, are for people who want to be in that activity, or feel interested in it. If student's aren't interested in that activity, then why should they be forced to do it? 
92	Phones and Driving, should it be a thing? Today over 5 billion people own a mobile device, and a little over 1 billion own some sort of vehicle.  These are two of the things people feel they need in life. But maybe the use of both at once is a bit too overwhelming. Driving while texting, or even making a phone call is excessive. It can be dangerous and hurt people in multiple ways 
93	For example, in February 2018, a 17 year old in Alabaster, Alabama killed a ten year old and her father in an accident because the teen was texting while driving. If the teen would have been paying attention to the road and not their phone the accident maybe could have been prevented. Not saying all accidents are caused by phone use, but a majority of them are. 
94	Nearly 390,000 injuries occur each year from accidents involving texting and driving. 4,637 people died in the year 2018 because of the accidents. If that does not scare one into not using their phone while driving, then I don't know what will. This is one of the many reasons why I believe driving and the use of a phone should be banned!  
95	Another reason cell phone use while driving should be banned; if adults use their phone while operating a vehicle their children will possibly be strongly influenced by it. 
96	The children will start to think it is okay to do so. It is the year 2019 and all that this generation raves about is having a car and the newest IPhone if we are taught that it is okay to text and drive, someone can earnestly get hurt by these actions. Most accidents involve teen driving, we don't want to give them another reason to be absentminded while driving. 
97	The use of a mobile device while operating a vehicle should be prohibited. Now is the time to admit that driving while using a phone or any mobile devices is dangerous! You wouldn't want you or a loved one to end up critically injured, dead or disabled. Phone usage while driving is one of the many reasons accidents happen everyday. You can always wait until you are out of the car to make that call or answer that text !   
98	"There is a saying that goes as this; ""You can't make everyone happy."" One would typically use this saying if an action they make improves the situation for one person, but creates a worse situation for another. However, if Professor Thomas Huang's new 'Facial Action Coding System' proves to be what he says it can be, then Huang believes that there actually is a way to make everyone happy, even in the school setting. "
99	The implementation of technology able to read the emotional expressions of children in the classroom is valuable for both the teachers and the students. 
100	With this technology implemented, anytime a student starts to fall behind during the lesson, the computer could make slight adjustments to the teacher's plans to help redirect the student back on track. 
101	It is common knowledge that the more a student falls behind in a class, the harder it becomes to catch up, which in turn makes the student fall behind even more. It is a viscious cycle that all stems from a day of not paying attention that could be averted by this technology 
102	"This technology could also help both students and teachers in a long-term manner. In paragraph 7 of the article, it is revealed that this new technology could ""even indicate the difference between a genuine smile and a forced one"" (Paragraph 7). Say there is a classroom without an emotion-sensing computer. In the classroom there is a student who, behind the fake smile is dealing with something that they cannot tackle on their own. The teacher never notices, and the child goes on without help. Now imagine if there was a computer in that class "
103	Once it sensed the troubling expressions on the child's face, it could flag down the teacher and alert him or her to the students problem, resulting in the child getting the counceling he or she needs. 
104	"The amount of improvement a classroom could see if this technology was implemented correctly would be immeasurable. The system could prevent students from falling behind in class because they cannot relate to how the teacher is teaching, and the technology could see through fake expressions hiding more troubled thoughts. With this sort of system, it may actually be possible to ""make everyone happy.""    "
