argument,topic,example
the demand for meat in this country is great and this will keep food costs down.,We should ban factory farming,we should ban factory farming because of the horrible conditions for these poor animals.
a multi party system allows for a larger group of qualified individuals,We should adopt a multi-party system,a multi-party system allows all political parties to be represented for all people
"we should ban the church of scientology for the simple reason that it is essentially a pyramid scheme. the advancements in the church have no end goal and lead to nowhere, which is a scam",We should ban the Church of Scientology,scientology should not be banned as people have the right to worship in whatever religion they wish and in a way they wish to.
naturopathy has not undergone testing and evaluation like medicine has,We should ban naturopathy,naturopathy isn't thoroughly tested by the fda and may pose significant health risks if not utilized properly
Men should have the right to stay home and raise their children without worrying about not being able to provide for them.,We should subsidize stay-at-home dads,we should subsidize stay at home dads because they can take care of the home and family just like a woman can.
the pride parades help the idea of all ethnic groups being respected by the society and spread awareness,We should cancel pride parades,pride parades enable people that are lgbtq to express themselves and come together in a safe environment.
adopting libertarianism would allow the economy to grow since all the rules and regulations holding back businesses and entrepreneurs would be removed,We should adopt libertarianism,"Libertarianism doesn't work. Government intervention and financing are necessary for so many facets of society - education, health, and safety, to name a few."
mandatory representation by public defenders endures all defendents have a level playing field and that those with the most money are more likely to be acquitted when guilty,The use of public defenders should be mandatory,having a system where public defenders are mandatory would make it fairer because all defendants would have the same level of defense
"multi-party system has no negativity, which means people has larger selection to choose from.",We should adopt a multi-party system,a multi-party system allows all political parties to be represented for all people
if subsidies were put into place for vocational education then other areas of education would also want subsidies and this would cost the government far too much to implement.,We should subsidize vocational education,"vocational jobs  play a vital role in society, but not as many students are pursuing these careers. subsidizing vocational education allows schools to still afford to offer these courses."
it is not fair to judge a person by his race or the color of their skin,We should end racial profiling,Racial profiling is unjust because it targets a characteristic which has no relation to criminality.
nuclear weapons should remain as the technology helps society in other ways,We should fight for the abolition of nuclear weapons,we should fight for the abolition of nuclear weapons because is fundamental for world peace
It is unnatural for people to be celibate and particularly those who then go on to be involved in other people's marriages and children such as priests will have absolutely no idea of the subject matter.,The vow of celibacy should be abandoned,the vow of celibacy is important to some people and to some faiths; it should be a personal decision not something that is simply abandoned entirely.
putting the needs and benefits of the group over the individual is a good concept that we all could learn from.  if only everyone was so unselfish to worry about others first we'd be in much better shape.,We should oppose collectivism,collectivism can cause people to ignore important problems if it doesn't apply to certain groups
wikipedia provides valuable information not only to the public but to educational institutions and so we should subsidize it to keep it going.,We should subsidize Wikipedia,wikipedia is a valuable resource used by many around the world. it is an important source of knowledge that should be subsidized to ensure it remains free for all to use.
foster care provides a stable living situation.,Foster care brings more harm than good,Foster care allows kids stuck in the system to experience life in a real house with a real family instead of in a communal group home.
banning whaling is moral and must be supported to save poor animals who suffer.,We should ban whaling,whaling should be banned because we are hunting the whale population to extinction.
"the blockade means the palestinian people have not been able to get goods and services and has led to poverty and famine, the blockade should be ended",Blockade of the Gaza Strip should be ended,The blockade hurts Palestinian civilians that have nothing to do with Hamas and violence against Israel. It is unjust to punish civilians for the actions of terrorists.
cosmetic surgery for minors is unnecessary and dangerous and normalises from a young age dangeous procedures.,We should ban cosmetic surgery for minors,"Cosmetic surgery is near permanent, minors cannot contextualize these changes due to their short life experience, and so are not mature enough to make sure life-changing decisions about their physical appearance."
denial of the holocaust can be viewed as an opinion and would infringe on one's own private thoughts and views.,Holocaust denial should be a criminal offence,Holocaust denial propagates negative Jewish stereotypes and encourages Anti-Semitism. It must be stopped.
The blockade of Gaza fuels Hamas recruitment because they can point to the poor conditions and blame Israel as a reason young people should join.,Blockade of the Gaza Strip should be ended,The blockade hurts Palestinian civilians that have nothing to do with Hamas and violence against Israel. It is unjust to punish civilians for the actions of terrorists.
"Targeted killing is state-sponsored murder; instead, enemy combatants should be arrested and brought to trial if possible.",We should ban targeted killing,targeted killing often results in the death of innocent citizens and is unnecessary when arrest and trial actually provide a better platform to ensure people answer to their crimes
blockades work and are a better option than dropping bombs,Blockade of the Gaza Strip should be ended,"The blockade is an alternative to conventional warfare and violence, decreasing the likelihood of violence against civilians."
who knows what the future holds in possible medical breakthroughs based on stem cell research.  we need to keep funding this important research to see what discoveries can be made.,We should subsidize embryonic stem cell research,embryonic stem cell research has the potential to help cure some of the most devastating diseases
"Statistically, children who age out of foster care have incredibly bad outcomes, with increased rates of homelessness, joblessness, and mental illness. This shows the system doesn't work.",Foster care brings more harm than good,"Foster care offers little stability for children already suffering hardships, putting them at an even greater disadvantage and giving them less of a chance of a normal life."
it helps to lift up the marginalized and gives them access to opportunities they might not otherwise have.,We should end affirmative action,affirmative action is crucial to help correct for years of prejudice.
missionary work is a good idea because their are undeveloped areas that have not had an idol to  base  hopes and fears upon.,We should ban missionary work,"we should continue to support missionary work as they do so much good for underdeveloped countries by bring goods, medicine and skills to the people of these countries."
Assisted suicide should be a crime to prevent greedy individuals from killing their family member to get their money and property,Assisted suicide should be a criminal offence,assisted suicide should be a criminal offence because it would be very easy  to murder a vulnerable relative in order to get an inheritance.
social media connects people with  things in common,Social media brings more harm than good,social media unites people from all over the world and gives people the opportunity to learn more about people and places all over the planet.
people who need organs should be able to get them from anywhere.,We should legalize organ trade,we should legalize organ trade because it will lower the risk of selling on the black market and can help those in need
intelligence tests are a great way to identify gifted students or students at risk so that they can provide them with an education that is better for them,Intelligence tests bring more harm than good,"IQ tests allow teachers and parents to direct additional resources to children who need them the most, i.e., those with low IQ scores."
by abolishing the right to keep and bear arms we would reduce the amount of weapons in the hands of people and possible reduce violent crime.,We should abolish the right to keep and bear arms,we should abolish the right to keep and bear arms because it can help stop mass shootings
Nuclear weapons can accidentally lead to radiation disaster.,We should fight for the abolition of nuclear weapons,"Even one accident from a nuclear weapon going off unintentionally would cause massive damage, and this is damage that we should not accept the risk of as a society."
it does more good then harm.  it can help catch criminals and or terrorists,We should end racial profiling,"figures show that certain crimes are perpetrated more by certain races, thus racial profiling is a helpful shortcut for law enforcement."
school prayer only happens in faith schools where the parents have chosen to send their children so consented to it,We should prohibit school prayer,school prayer usually supports a specific religion. this discriminates against non-believers or members of different religions.
wikipedia is a helpful source of information for research and educational purposes,We should subsidize Wikipedia,wikipedia is a valuable resource used by many around the world. it is an important source of knowledge that should be subsidized to ensure it remains free for all to use.
there is no discerning between a serious crime and a minor one,We should abolish the three-strikes laws,huge mandatory sentences for three minor offenses make neither economic or judicial sense. the huge  cost of incarceration is unjustified. judicially the sentence should fit the crime and not be draconian.
fast foods are generally greasy and fattening.  by banning them it would help control some of the obesity in the country.,We should ban fast food,fast food provides minimal nutrition and is addictive with no health benefits so should be banned to preserve the health of the population.
unfortunately the entrenched terrorists in the area need to be rooted out with tight restrictions.,Blockade of the Gaza Strip should be ended,the blockade should not be lifted while hamas is still a threat in the region
it is unnatural to keep animals locked up just to entertain humans,We should abolish zoos,"zoos often exhibit poor standards of animal welfare, since they are designed to make money for their owners - it is essentially exploitation under the guise of environmental 'protection'."
"wikipedia has proven itself worthy of being subsidized as its maintained usefulness for many years now.  in fact it's as useful, if not more so, than a regular dictionary is.",We should subsidize Wikipedia,wikipedia is a valuable resource used by many around the world. it is an important source of knowledge that should be subsidized to ensure it remains free for all to use.
too many people use this as an excuse to be anti-jewish.,Holocaust denial should be a criminal offence,Holocaust denial propagates negative Jewish stereotypes and encourages Anti-Semitism. It must be stopped.
We should not subsidize embryonic stem cell research as there are more than enough pharmaceutical companies out there who will inevitably profit from the research and they should pay for it.,We should subsidize embryonic stem cell research,"we should subsidize embryonic stem cell research because it is necessary for the betterment of the human race. we may find cures for aging, diseases, or create new stronger genes."
the church of scientology is a criminal association of people  and should be banned,We should ban the Church of Scientology,"the church of scientology is a cult that takes people's money, brainwashes them, and harrasses anyone who tries to leave and should be banned."
it would ensure that the most qualified candidate gets the positions.,We should end affirmative action,"merit alone should be the deciding factor in whether a person is given a career opportunity, and affirmative action is a form of discrimination."
We should adopt a multi-party system as the current two party system does not fit the diverse society that it is supposed to represent.,We should adopt a multi-party system,we should adopt a multi-party system so that we have more viewpoints to solve problems.
we should legalize prostitution because that way more prostitutes will take care of themselves medically so they won't catch or spread diseases,We should legalize prostitution,prostitution should be legalized as it provides a service and reduces rape and sex crimes
sanctions can be a great tool to put pressure on a leader &  the population may rise up in anger & demand the change desired & outcome desired,We should end the use of economic sanctions,economic sanctions can be very effective in bringing about social change
a multi-party system results in so many different platforms that there is no cohesion and nothing gets accomplished.,We should adopt a multi-party system,Multi-party systems are not efficient. The ruling coalition often has to negotiate with the minority parties in its coalition in order to pass legislation.
parentz have a right to make educational choices for their kids.,Homeschooling should be banned,parents should be allowed to choose their children's education
capital punishment is cruel and unusual,We should abolish capital punishment,capital punishment is inhumane and often an unfit punishment for the crime
"naturopathy is, at it's root, natural, which can only be healthy for us.",We should ban naturopathy,naturopathy is a scam that preys on vulnerable people. people end up paying a lot of money for something that does not work and does not improve their health.
wikipedia should be subsidized because it is a great place for cultural iconography to continue to be added to from many different people.,We should subsidize Wikipedia,wikipedia is a valuable resource used by many around the world. it is an important source of knowledge that should be subsidized to ensure it remains free for all to use.
"many people who are not capable to drive, would be able to commute easily with autonomous cars",We should stop the development of autonomous cars,autonomous cars could prevent traffic jams and accidents.
entrapment should be legalized some people need to feel the power of entrapment.   this is always not the case but certain individuals require entrapment because of the way they live their lives.,Entrapment should be legalized,entrapment should be legalized because sometimes this tactic is the only way to apprehend repeat offenders.
respect for tradition is not a legitimate reason to restrict marriage rights,We should legalize polygamy,polygamy should not be legalized because it empowers men more and minimizes women
affirmative action ensures minorities are not overlooked,We should end affirmative action,affirmative action corrects for generations of wrong-doing and should not be discarded.
"we cannot comprehend the implications of the full use of cloning on the world and should steer well clear. population is already growing too large anyway, so we should not encourage extra ways to grow it",We should ban human cloning,"cloning will restrict the gene pool, reduce genetic diversity and and encourage recessive traits, many of which lead to illness and abnormalities."
zoos are entrapping animals that are meant to live in the world,We should abolish zoos,Zoos keep animals in captivity and deny them the right to their natural environment therefore they should be abolished.
the organ trade is unhelpful and can cause harm to people,We should legalize organ trade,organ trading is dangerous because it can result in harm to vulnerable people
marriage is a form of institutionalized slavery,We should abandon marriage,marriage can show commitment and values it can give you rights and privileges under social security law and tax benefits
"there is nothing wrong with, and no reason to change, vows of celibacy.",The vow of celibacy should be abandoned,we should not abandon the vow of celibacy because it is a centuries old custom that is seen as sacred and holy.
"the olympic games should not be banned, it provides hope and motivation for a physically positive purpose, and brings together every nation of the world",We should abolish the Olympic Games,"The olympic games are a long ongoing tradition that has brought countries together in peace to focus on sport rather than their various differences, this important event should never be abolished."
"cannabis is a hallucinogenic product that can harm a persons memory, lower their inhibitions and cause a person to make dangerous choices and is addictive. all of these behaviors can be destructive.",We should legalize cannabis,cannabis is known to lead to dependency as well as further drug seeking behaviors and should not be legalized.
autonomous cars  are the future of road transport and can help people drive in a safer way and even relaxing while using them.,We should stop the development of autonomous cars,"autonomous cars reduce accidents and keep drunk, drugged and even sleepy drivers from getting behind the wheel."
prayer is uplifting and children finding their faith is important,We should prohibit school prayer,we should not prohibit school prayer because it exposes kids to positive moral beliefs and practices.
"they recruit public figures and celebrities in order to help lure in the masses, yet they are simply a toxic money-hungry cult.",We should ban the Church of Scientology,"the church of scientology is a cult that takes people's money, brainwashes them, and harrasses anyone who tries to leave and should be banned."
social media spreads fake rumors and gets people angry and scared without knowing the facts.,Social media brings more harm than good,social media unites people from all over the world and gives people the opportunity to learn more about people and places all over the planet.
"racial profiling is outdated in the modern age where people are becoming more similar in outlook, opportunities, values and ideals regardless of race",We should end racial profiling,Racial profiling is unconstitutional. It goes against basic core principles of justice and equal protection under the law.
"we cannot continue playing gods by experimenting with human cloning, we must stop",We should ban human cloning,we should ban human cloning because it is against human nature
intelligence tests often are inaccurate and give bad results.,Intelligence tests bring more harm than good,intelligence tests give a skewed and limited view of a student and do not give a full picture of someones abilities and skills.
everyone using public defenders would equalize the criminal justice system.,The use of public defenders should be mandatory,having a system where public defenders are mandatory would make it fairer because all defendants would have the same level of defense
it is keeping peace and it needs to stay in place.,Blockade of the Gaza Strip should be ended,"blockade of the gaza strip should be ended because the conflicts need to be finished, a resolution should be found and people should be able to get back on track with life"
"human cloning destroys the natural order of growth.  even though it creates what looks similar, there are minute differences that can cause unusual problems later in life.",We should ban human cloning,"cloning will restrict the gene pool, reduce genetic diversity and and encourage recessive traits, many of which lead to illness and abnormalities."
some children can't adjust to a regular school and homeschooling means they can still get an education.,Homeschooling should be banned,homeschooling is best for children where the schools in the area are not conducive to learning
we should ban private military companies because not to do so is playing favoritism towards military people,We should ban private military companies,"private military companies are wrong and should be banned immediately.  they are being paid to create war, not to help prevent it."
racial profiling only serves to fuel discrimination and racial resentment.,We should end racial profiling,Racial profiling makes racial harmony more difficult as it puts unjust stereotypes on certain communities.
laboratory testing and regulations of legalized marijuana will ensure that it is safe for use and free of harmful substances,We should legalize cannabis,legalizing cannabis as far as health is concerned can be beneficial since many of these substances are used as treatments for certain diseases
human cloning might just be what we need to save ourselves.  let's go for it.,We should ban human cloning,we should ban human cloning because it is against human nature
racial profiling only serves to allow those in power to commit legalized racism.,We should end racial profiling,Racial profiling is unconstitutional. It goes against basic core principles of justice and equal protection under the law.
its a way for people to earn money. its their body.,We should legalize prostitution,Prostitution is a form of social coercion that forces individuals who don't have other options to sell their bodies. The state must keep it banned to protect people from being coerced.
autonomous cars provide us with the freedom to use our time better while traveling.,We should stop the development of autonomous cars,"autonomous cars reduce accidents and keep drunk, drugged and even sleepy drivers from getting behind the wheel."
The Olympic Games have been around for centuries  and it would be sad to stop this time honored tradition.,We should abolish the Olympic Games,"The olympic games are a long ongoing tradition that has brought countries together in peace to focus on sport rather than their various differences, this important event should never be abolished."
killing without going through a court of law is wrong,We should ban targeted killing,targeted killing should be banned because it denies the victim  the right to a fair trial by jury.
"Even with high rates of divorce, married couples and the children of married parents ultimately have more stable and emotionally healthy lives than their unmarried counterparts.",We should abandon marriage,marriage offers certain protections and privileges that simply dating or cohabitating can not and do not. it's needed it many instances.
entrapment is an abuse of power from law enforcement and should not be allowed.,Entrapment should be legalized,entrapment should be legalized as enables the police to capture criminals
collectivism doen't permit individual thoughts to be considered,We should oppose collectivism,collectivism does not encourage individual improvement and ingenuity
The use of public defenders should not be mandatory because it would require a large increase in state taxes to cover the massively increased cost of trials.,The use of public defenders should be mandatory,public defenders should be mandatory because they can provide free legal representation to those who are accused
if people want to do it and have an understanding of the risks involved they should be able to,We should ban the Church of Scientology,scientology should not be banned as people have the right to worship in whatever religion they wish and in a way they wish to.
social media allows breaking news to be shared around the world instantaneously.,Social media brings more harm than good,social media unites people from all over the world and gives people the opportunity to learn more about people and places all over the planet.
the austerity regime is the ideal to lead a healthy life,We should adopt an austerity regime,an austerity regime hurts the poorest in our society
"executive pay is out of control. when an executive can earn the same in a week as a manual worker earns in a year, then something is wrong.",We should limit executive compensation,executives have been appointed or promoted to that position through hard work and deserve to be compensated for such
"a multi-party system would pollute the polls.  there would be too many options, meaning none would get the full vote they deserve or need.",We should adopt a multi-party system,a multi-party system might allow for more and more diverse candidates to come to the forefront of each election.
it is possible that this could be used as a murder in some cases.,Assisted suicide should be a criminal offence,Assisted suicide is a criminal offence as it centers on the intentional death of a human being.
intellectual property ought to be available for everyone to use after someone has been paid for the property,We should abolish intellectual property rights,Intellectual property rights are important to protect the assets of those who have invested time and money into a particular idea.
student loans shouldn't be subsidized because you're limited in the amount that you can borrow,We should subsidize student loans,we should subsidize student loans because it gives students with low income to get the education they deserve
"the racial profile is an absurd practice and must end because it pigeonholes people because of their ethnicity, race or religion. the racial profile goes against human rights",We should end racial profiling,Racial profiling is a blatant act of discrimination.
entrapment is wrong because we don't know if they would have committed a crime if it wasn't for the officers making it easier to do the crime,Entrapment should be legalized,entrapment just encourages criminal activity that may not have otherwise have occurred
celibacy is responsible for the child abuse cover up by the catholic church,The vow of celibacy should be abandoned,celibacy is an unnatural state for humans and should be abandoned by the church and others. it  leads to negative behaviors based on the attempt to suppress a normal human urge to procreate.
the blockade of the gaza strip is doing more harm than good and it should be ended.,Blockade of the Gaza Strip should be ended,"blockade of the gaza strip should be ended because the conflicts need to be finished, a resolution should be found and people should be able to get back on track with life"
"we should not subsidize vocational education because it would cost to much and raise taxes, and it would not help society in the long term.",We should subsidize vocational education,"We should subsidize vocational education to support students who wish to follow a different education path to those going to university, who would be ineligible for scholarships and grants."
There are several whaling communities with their own distinctive cultural identity and we cannot take it away from them.,We should ban whaling,There are several whaling communities that depend on the hunting of whales to survive.
zoos allow us to see animals we normally wouldn't and develop compassion for them. then we will be less likely to harm them in nature.,We should abolish zoos,zoos do very important conservation work. their breeding programmes  have meant that some species have been prevented from going extinct.
algorithmic trading could put traditional traders out of a job.,We should ban algorithmic trading,algorithmic trading has been reported as one of the main causes of the greatest fall in the dow in decades
Intelligence tests measure only certain types of intelligence and thereby devalue talents that are crucial for humanity.,Intelligence tests bring more harm than good,intelligence tests give a skewed and limited view of a student and do not give a full picture of someones abilities and skills.
we should end racial profiling because it causes people to be harassed,We should end racial profiling,Racial profiling legitimizes and encourages racism in our society.
we need more representation of minority races in universities to encourage the marginalized who are not yet there,We should end affirmative action,there is so much prejudice in the world that we need to continue affirmative action to bring balance.
students from schools with active zero tolerance policy have occasionally blurted about how the policy infringes on their rights and how teachers use the policy as an excuse to deal with them.,We should adopt a zero-tolerance policy in schools,"Zero tolerance policies send a strong signal to students, parents, and the community that violence and bullying will not be tolerated."
we shouldn't end affirmative action yet because it is still necessary to provide more opportunities to those that were not provided them over the last couple hundred years.,We should end affirmative action,there is so much prejudice in the world that we need to continue affirmative action to bring balance.
we should not abolish the right to keep and bear arms to protect ourselves from people that are trying to kill us,We should abolish the right to keep and bear arms,we should abolish the right to keep and bear arms because it can help stop mass shootings
"nuclear weapons are a strong defense for countries against the possible aggression of others.  it doesn't have to be used, but the threat of it keeps others is line.,",We should fight for the abolition of nuclear weapons,"If nuclear weapons fall into the wrong hands, e.g. terrorist regimes, they can be used for nefarious purposes."
i agree that we should ban telemarketing as it is a nuisance and is often unable to be differentiated from scammers,We should ban telemarketing,"telemarketing is a waste of time for all parties involved, it rarely results in a sale for the company doing the telemarketing and provides a disturbance in the lives of those who are called"
some people rely on this because of religious beliefs.,We should ban naturopathy,people should have the freedom to choose whatever system of treatment they feel is best
we should not bow down to the pc luvvies,We should adopt gender-neutral language,if everything was spoken about gender neutrally then no one would be offended.
we should not ban safe spaces as they just cause further division instead of solving the problem.,We should abolish safe spaces,"safe spaces should be abolished because without proper regulation, they can be just as dangerous as any where else."
an austerity regime hurts the poorest in our society,We should adopt an austerity regime,an austerity regime hurts the poorest in our society
"If Wikipedia had more money, it would be able to deal with fake information more effectively.",We should subsidize Wikipedia,If Wikipedia were subsidized it would be less objective by being accountable to a single funding source.
nuclear weapons should be abolished because it brings us one step closer to a nuclear war,We should fight for the abolition of nuclear weapons,we should fight for the abolition of nuclear weapons because is fundamental for world peace
people being able to earn more money encourages them to work harder and smarter.,We should limit executive compensation,it's unfair for workers to be near or below the living wage while executives line their pockets with excessive wealth
"wikipedia is an important knowledge source, that is contributed to by independent experts and the general population. it is important to maintain it.",We should subsidize Wikipedia,wikipedia is a valuable resource used by many around the world. it is an important source of knowledge that should be subsidized to ensure it remains free for all to use.
Private military companies provide flexible and cost effective solutions without committing unnecessary government expenditure on set up costs.,We should ban private military companies,private military companies allow more investment than governments can afford and so are essential to future security and should not be banned.
"zero-tolerance policies lack common sense because it does not allow second chances, one mistake and you out. it puts too much pressure on the students.",We should adopt a zero-tolerance policy in schools,Zero-tolerance policies have harmful long-term effects. Students who are expelled or suspended are more likely to drop out of high school.
sometimes the only way to overthrow a bad government or organization is by targeted killing.  this could be the only way to protect innocent people.,We should ban targeted killing,targeted killing can possibly save millions of people if we are targeting those who mean to carry out dangerous plans against the rest of the world.
"these do not harm to anyone. safe spaces can empower young people and protect them. the world is harsh enough, why not allow a little bit of harmless peace?",We should abolish safe spaces,"safe spaces should be abolished because without proper regulation, they can be just as dangerous as any where else."
racial profiling is unconstitutional as it goes against freedoms of the people,We should end racial profiling,Racial profiling is unconstitutional. It goes against basic core principles of justice and equal protection under the law.
the 3 strike law is unfair and many people are punished too severely.,We should abolish the three-strikes laws,"Three-strikes laws are too harsh. Many people who have committed non-violent felonies - and in some cases, misdemeanors - have been given mandatory life sentences."
"human cloning should not be banned a sit can be valuable in medicine, for transplantation and experimentation",We should ban human cloning,"we should not ban human cloning, the potential it holds for the medical industry is so valuable we must explore the opportunity."
there are two genders people are born with and i see no need to change language that refers to those two genders in order to accommodate everyone that feels they are something else.,We should adopt gender-neutral language,"gendered language has existed since the beginning of time, it would do no good to restructure the way we speak in such a drastic way."
