,idx,query,res
25,25,They are trying to said that they want to invent a computer that knows when are you happy and when you are sad or angry and other caind of emottions.  each they there are trying to have new tecnology and new stuff they have to see whats goin on in that they have to do what they have to do.  Other peopl;e dont like to see other people expressions because they get enoy from seeintg them.  They are seeing video games and trying to see what can they do to modofy them . ,"Nick D' Alto says ""Imagine a computer that knows when you're happy or sad."" The author of this article talks of how it will improve ad placements by whether you smile or frown, however I know for a fact social medias, especially Facebook, are already basing information on preferable ads by just what material you look at. Why is it necessary for a program to constantly scan our face just to see if we like something or not? This gives the computer so much power of constantly knowing what your exact emotions are on everything. It is just so unnecessary that it causes one to question why in the world would we risk giving computers that kind of power. Also, is it appropiate to constantly scan childrens' faces as they are trying to learn? Would there be a security system in place or parental agreement necessary that would allow the permission of constant invasion of privacy in the name of education? There are many ethical questions and unknown future outlooks that one would not want to subject children to that sort of test of safety and security. "
26,26,Some people thinks its funny to watch other contenets to bein war. ,"We all know where there are friends, there are foes. When you group a bunch of developing teenagers going through puberty, where emotions and hormones are swarming around, you get a sort of cesspool of emotion. Yes, at times there will be drama, fights, gossip, harassment, and many other things normal to the life of every day teens. Some may say this is a lie, but it is very well the cold hard truth. People won't always get along it's apart of the human nature, and as you're growing up you are still trying to figure out what you do or don't get along with. "
27,27,I disagree.  ,"However, I believe that the popular vote is more fair because it expresses the opinion of the majority. "
28,28,"This painting is was made a long time ago. Many people found this painting weird because, back then there wasn't a lot of people happy, also poor. So when you see this picture this girl is happy and looks like she has nice cloths on. People took this picutre into inspiration. And brought a lot to the picture. ",Three years later we recieved the best results possible. the photo not only showed no carvings but it also showed that there was no face at all! 
29,29,My therd reasion is if you make it be useable on animals then we can uncover a lot of mysteryes ,"To illistrate, ""...human curiosity will likely lead us into many equally intimidating endeavors"" (8). The author explains how humans are naturally curious, and how this curiosity often times leads them to dangerous situations. Studying Venus has its dangers, but it is no different. Also stated, ""Our travels on Earth and beyond should not be limited by dangers and doubts but should be expanded to meet the very edges of imagination and innovation"" (8). The author is promoting curiosity because it leads us to new things. Curiosity can overcome the fear of danger when exploring Venus to help us learn new things about the planet. To summarize, the power of curiosity in people is something the author uses to support their opinion of Venus being worth it to explore. "
30,30,to help with all the dier need that the world has to offer for the Electoral College just dont get rid of it for no reason you need to have a really great suggestion to remove it out of the system. ,Whats up with the electoral college? Can we really trust it? Ofcourse you cant and all that apose can stand up and walk out the door .The presidental race is a fake!!! So the goverment wants to tell you that you need to be a citezen to vote but what are you voting for? 
31,31,The electoral college requires a presidential candidate to be choosen. ,The Electoral College encourages the presidents who are running for office to avoid campaigning towards states with a smaller amount of electoral voters 
32,32,Finally I think If we could choose the president it would be better becuse the people would get what they want ,I whole-heartedly believe if we leave the responability to chose our president in the magority vote that this country will become more unstable than it already it 
33,33,I don't believe a technology can identify human emotions ,"However, on the technological aspect, how can one know how reliable a computer is on detecting somebody's facial expression? "
34,34,"when they lying too, becuase some students dont like to show or describe how they feel. not just on students we should use it on we should use it on friends and family too. we need to know how to help people if they upstet to cheer them up, or if there happy we need to know what made them happy. ","The FACS will pick up emotions that a student is feeling and teachers, parents, and or consoulers will be able to get the help that that particular student aqquires. ""To an expert, faces don't lie; these muscle clues are sometimes used to spot when a ""smiling"" politicain or celebrity isn't being truthful."" This same concept can work with students too. If a student is giving off a false emotion than that student really feels; the FACS can determine the actual emotion the student is feeling. If teachers and parents realize the actual feelings and emotions someone feels, he or she will be able to provide more comfort in the act of helping towards that individual. "
35,35,but that is an opion.  Their are meany rational reasons about why the Electoral College is benificaial rather then destructive. ,"Source 3, ""In Defense to the Electoral College"", even admits that the electoral college is a non-democratic method of selecting a president (lines 15-17). Liars, we are liars then. Americans project an image of America to the world that we are a peacful democracy. However, if the way that we select our leaders isn't even democratic, why are we portraying this false mirage. The electoral college is an anachronism (lines 15- 16). We are a stage four country on the demographic treansitions model. Therefore, our aspirations should be looking forward and not rooted in the past. "
36,36,if the NASA cameras did not see any people/aliens. On that fact if NASA did see any aliens on Mars they would have kept it top secret and wold have not showed the images to the world ,"In conclusion, some people may think there is alien life on Mars because of past picture or conspiracy theories. No one can denty however, that NASA has proven the Face to be nothing but a natural landform on the Red Planet Mars. NASA has proven this by recent pictures, scientific evidence, and real-life examples and measurements. Over the years, NASA has worked hard to figure out the mystery of the face, and just recently they have discovered, with pictyures, evidence, and measruements, that the Face is just a natural landform with unusual shadowing formed on the Red Planet Mars. "
37,37,"Therefore, I agree with what the passage is saying because it says ''The Electoral College consists of 538 electors. A majority of 270 electors votes is required to elect the President. Your state's entitles allotment of electors equals the nu,ber of memebers in its Congressional delegation: one for each member in the House of Representatives plus two for your Senators.... ","Each state gets one vote and then the electors can choose who they want for president. In source two it states that the electoral college consists of 538 electors and the most amont of elecrtoral votes is 270, in order to pick an president. Also in source two it states that the number of electors we have equals to the amount of members of congress we have. I propose a new system by only letting the American people select our president by votes counted all up by each state, for example if we didn't have have electoral college,  then it would be a fair vote because people votes would count the number that adds up with all votes for one candidates that will oppose another candidates and there would be technically no tie it would either ,more or less, but if we still had the electoral college then the vote would not be equally fair becuse if the majority of a state for examlpe  chose republican candidate, then that would be vague becuse some people choose democratic and there vote did not really count. but without the electoral collge, than everyones vote counts and each candidates gets vote from every one, not only electoral. "
38,38,"According to paragraph three of source one , the Electoral College consist of five hundred and thirty-eight electors . A canidate has to earn two hundred and seventy of those votes . ","Most people dont really understand what the Electoral College is, or what it is about, so let me just inform you about it a little. The Electoral College is a process that was established in the constitution and it is a strategy that we use to elect out presidents. The citizens vote for the president, but so the the electors in the Electoral College. There are over five hundred members of the Electoral College, and if a canadate wants to win presidency, he/she has to gain 270 of the Electoral College's votes. Each person running has a set of their own electors "
39,39,"Venus is our sister planet. Some call us twins because of the sizes we both have. But, Venus is the closest to the sun like Mercury is the first panet next to the sun. So Venus is the warmer part of our sisterhood, and Earth are the cold part of our sisterhood. It's sort of like Venus is Anna because of her warm personality. And earth is like Elsa, because of her frozen powers, so she is extremely cold when it comes down to things. Earth at the moment is like Elsa because of its winter landish time of the year. ","Venus is the second planet in the solar system from the sun that precedes Earth in the planetary order. This planet is often called Earth's ""twin"" and the ""Evening Star"" of the universe because of its brightness and relative similarity to the Earth. In the article, ""The Challenge of Exploring Venus,"" the author presents facts and figures that one could use to determine whether studying Venus would be an advantageous pursuit even though it would not be very safe. The author focuses more on the drawbacks of exploring Venus, hence the title of this work. "
40,40,"""Evening Star"" this article state in, venus is one of the brightest points of light in the night sky,making it simple for even an amateur stargazer to spot.  ""Twin"" this article state in, venus is the closest planet to Earth in terms of density and size, and occasionally the closest in distance too.  ""The venus blanked."" The article state in the venus atmospere have almost of 97 percent of carbon dioxide.  ""Venus surface."" the article state on the planet's surface, temperatures average over 800 degrees fahrenheit, and the atmospheric pressure is 90 times greateer than what we experience on our own planet.  The article essay, thia articlo explain about ""The challenge of Exploring Venus""  venus is a planet nd look like a star because brightes points of light in the nigth sky, and tambien is a ""twin"" is the earth's twin, venus is it really closest at the eart and tambien look similar in the size and in the density, tambien look are similsr in the distance.         ","Venus is the second planet in the solar system from the sun that precedes Earth in the planetary order. This planet is often called Earth's ""twin"" and the ""Evening Star"" of the universe because of its brightness and relative similarity to the Earth. In the article, ""The Challenge of Exploring Venus,"" the author presents facts and figures that one could use to determine whether studying Venus would be an advantageous pursuit even though it would not be very safe. The author focuses more on the drawbacks of exploring Venus, hence the title of this work. "
41,41,"In source 2: the indefensible electoral college: why even the besy-laid defenses of the system are wrong states ""because of the winner take all system in each state, candidates dont spend time in states they know they have no chance of winning, focusing only on the tight races in the 'swing' states."" ","For example, in ""The Indefensible Electoral College: Why even the best-laid defenses of the system are wrong,"" Bradford Plumer whines about how, ""At the most basic level, the electoral college is unfair to voters,"" going on to say that, ""Because of the winner-take-all system in each state, candidates don't spend time in states they know they have no chance of winning, focusing only on the tight races in the 'swing' states,"" (Plumer 13). "
42,42,"This 'Face' isn't a landform, its a lifeform. ","The Face is nothing but a landmass, the scientific name: A mesa. "
43,43,"After you ask the people you wanted to ask for advice, your going to have to make a decision. Before you make a decision, you are going to have to think of the consequences. Consequences are the outcomes of your choices that you decided to make. There can be good consequences and then there can be bad ones. The bad consequences depend on the situation that you are going to be in or is already there. You have to think,"" If I do that what is going to happen. Is it positive or is it going to be negative."" Normally, people always go for the peaceful choice so their can be less problems. People also make choices everyday on what to eat, wear, and when they should do their papers. ","Sometimes when a decision is very impactful, you can get stressed out over the choice you want to make. Asking others may make deciding easier because all you have to honestly do is listen to their ideas and decide if you agree with them or not. Then, using your common sense and their advice, you can choose the decision you believe is best for you . Also, you actually might know what you are going to choose. But you might still want to ask other people what they think because that can ""confirm"" that you have made the right decision. "
44,44,Getting more opinions can help you because it can get you more advice and by getting more advice helps the person asking know more. What does it help by asking more than one person it can get you get you more advice just in case you did not know. ,"Seeking multiple opinions will help them decide which opinions they would prefer to help them pick from. This person could have a number of options to decide from so that they will get more ideas for the advice they could recieve. Asking for advice from one person is not a very good way for getting opinions, because that person will not have as many options as a great deal of people could have. The person getting advice should not decide on one person to get opinion from because they might not get as many ideas as they would like to get. Having more opinions to influence from can make up a huge decision for a person that is seeking more to options. "
45,45,"Venus is a very dangrus planet its ben proven, not one human has lasted more than a few hours floating above the fray,its been more than three decades since a space ship has tuched venus but ","Venus, otherwise known as the ""Evening Star,"" is one of the more challenging planets to examine closely in our solar system. While this plant is often called Earth's twin, it is vastly different in terms of environment and hospitability. Despite being the closest planet to Earth at times, no spaceship has touched down on Venus in over thirty years. The dangers presented by Venus are many, but the author greatly supports the idea that studying Venus is a worthy pursuit despite these dangers. "
46,46,I think it is a good thing then all you will have to do is say to your computers how do i feel today it will say to you ,"like its says in paragraph 6 ""Imagine a computer that knows when you're happy or sad"". For example if you smile when a web ad appears on your screen a similar ad might follow. But if you frown the next ad will be different ""A classroom computer could recognize when a student is becoming confused or bored ""Most human communication is nonverbal including emotional communication"" noted Dr. Huang ""So computers need to understand that too "
47,47,"If you don't want to make all the kids in the school do community service, then i think you should put up a sign up sheet for students who want to so they can sign up, and have a day or two every week were they leave school for a couple hours to go do some community service with some teachers that volunteers also.  ","If you get behind my idea, I know students and teachers will follow us and make a huge difference in our community.  We could even send out e-mails to each student's parents telling them of this idea.  If the parents find out about this, I believe they will certainly force their kids to take part in a small amount of community service.  All I am asking from you, is to just enforce this one little rule into our school.  It could change lives.  I am not asking for everybody to do a whole lot, just 24 hours of your life to help out the community.  There are so many opportunities for our students to help out our community.  Who knows, maybe you could save somebody's life while doing the community service.  "
48,48,NASA is working on a lot of different approaches on how to last a while or have a good landing on Venus. ,"When discussing the potential plans to explore the planet, the author states ""Many researches are working on innovations that would allow our machines to last long enough to contribute meaningfully to our knowledge of Venus."" This quote makes it clear to the audience that scientists are doing whatever it takes to develop multiple, efficient plans for space travel. The author also goes onto provide different examples to further convey how close scientists are to developing the safest plan possible. They specifically mention the use of simplified electronics made of silicon carbide and explain how they've already been tested in a chamber that simulate the conditions of Venus's surfaces, yet how they're still being improved upon. They also describe an old technology called mechanical computer, noting how this technology has already been used frequently in the 1940's and how it can be incorporated into space travel now. The author has given detailed descriptions of the efforts made and the options available to provide a safe embarkment for humans to support the ideas that Venus is a worthy pursit. "
49,49,I have done research ,"Cooperation is a skill which gives people the ability to build upon each others strengths and weaknesses, and is the source of many significant discoveries. Often we see that the scientific community caters to its researchers by promoting peer-reviewed journals and research to be conducted. This sentiment holds true with education in America. In order for students to learn over the summer, they should be encouraged to produce their own projects with individuals whom they spend their time with during the summer. I recall being pestered by taking on the burden of conducting a lab report by myself, which caused me to feel stressed out and disengaged. One day in physics class, my teacher allowed me to conduct a lab with many of my friends to make the lab procedure dynamic. I found that by being with my contemporaries, I was inclined to learn more about physics, and to collect accurate and precise data. Students who create their own projects are allowed the opportunity to learn through cooperation, which betters suits them especially during summer break. Many students are already flustered by the work load they receive during the school year, furthermore projects in summer break should bring students together in learning not steer them away in frustration. "
50,50,I hear you are trying to make a decision on whether all students should be required to perform community service. ,I think that you should consider making community service mandatory for all students. 
51,51,Its like the man it the moon it is just a landscape it is nothing big at all. By saying that it is an alien people today would probally believe that it is true they would go crazy. ,"Contrary to popular belief, there is nothing unatural about the supposed ""Face on Mars"". Though many would like to believe in the supernatural, this oddity is nothing but a rock formation. There are several reasons as to why the theory of aliens making this formation is preposterous, each reason stronger than the previous. "
52,52,"No one should force you too do anything that is outside of your comfort zone except your parents, they can force you to do anything they need you too do. Other than your parents and family members,no one should even think about forcing you to do something because that is just a horrible thing to do. unless they have permission from your parents, I don't think that they should be able to tell you that you can or can't do extracurricular activities because that would'nt be fair to the people who actually enjoy them. As for the rest of us, we'll be fine her as long as we don't have to do any pointless extracurricular activities. So to answer the question, would you like to have to do an extracurricular, No! not at all, but some people might ","Let's say the options the school provides are all not of interest to them, so they're forced to take something they don't want to do. How would you like to be forced to commit to something you didn't want to do to start with? I'm pretty sure no one would want that. Though extracurricular activities are great for students to do, some are just reserved and are shy when having to do things in front of people. For students with anxiety, that is extremely embarrassing. Plus, if you force someone to do something they don't want to do, they'll just do it with half-effort and that makes everything one step harder for the people who actually wanted to do that activity. I can almost guarantee that this will happen if schools force students to do this, and it'll just make the activities less fun for the ones who actually want to do it. "
53,53,we should be able to pick and choose what's in our schools ,"Ultimately, there are benefits and disadvantages to both online and public school and all students are different so it is up to parents and students to communicate and find what is the right choice for them. The question I believe should be posed when deciding between an online school and a public school is, how are people supposed to adapt and learn from the world if they are sheltered from the very world they are meant to grow with? The answer is very simple, they cannot.  "
54,54,"FACS can classify six basic emotions happiness, surprise, anger, disgust, fear, and sadness just by seeing the the movements of your facial muscles. ","It can read a total of six emotions with some branches coming off of those emotions. The six emotions are stated in the quote,"" Eckman has classified six basic emotions - happiness, surprise, anger, disgust, fear, and sadness - and then associated each with characteristic movements of the facial muscles."" The machine is able to determine whether a student is in distress or not thus telling the teacher to help the student out with the problem that they are facing. The teacher would be able to help the student cope and deal with their emotional sadness or anger and tell them how to deal with it in order to assist them in getting through it. This is not the end though of what this incredible machine can do for a school. "
55,55,"This way it will teach the students that they shouldn't litter and that it is bad, and damages a lot of our property and if they do it they will have to pay for what they have done and suffer a big punishment. For example if someone throws a drink bottle on the ground it is there responsibility and they should clean it up. ","Every time, theirs a student that doesn't care and leave their garbage on the floor. If we open up this program we could make students more responsible to the school. If the students see the hard work some people take to clean the school environment they would appreciate the work they done and might not want to throw their garbage on the floor like they used to. They would see that since now its them that pick up the garbage and not other people they would be more responsible and throw it the garbage can. "
56,56,If the principle were to make this rule then everyone wouldnt be as lazy. ,Some people are to lazy to help out . If we teach children to help out now they won't be lazy in the future 
