,idx,query,res
14,14,and if they want to decide if they want to have their cell phones on in class is not going to be better for the teachers because they cant help the students learn and what is going on in life and what do they have to do as their assignment. they want to be texting in class and be distracted. ,"I believe your second policy to ban cell phones in class is the best choice because after being a student in school, I know what will happen if cell phones are allowed in school. If cell phones were allowed during classes, instead of only during lunch periods and other free times, they would be put to use constantly. Students would be able to communicate through text message throughout the classroom, and the teacher would never know if they are not banned"
15,15,What i can also personally add to this parrgraph is things are way more depenable and understanding and way more better and trustfull and when many people join their heads together. ,Ask a group of people for advice. Ask more than one person. Ask multiple people. Ask people from multiple perspectives. Ask many people what they would do in the same scenario. Ask several opinions. Ask others to help you build your own opinion.
16,16,There's five reason to where the Electoral College should be retraining. ,"The first and foremost reason why the Electoral College should no longer be kept in the U.S is because it will only lead to negative consequences. This has been observed in the past, and it must be prevented from occurring once more. One element of this disaster factor is that electors could easily betray the will of the people."
17,17,"The chose on have online course can go both way ,it depend on the on problem if most student and teacher complain about wake up to early and not having enough time to get every ready. In my opinion it depend on the situation the school is having ,if it the only way to have to have student to do their work and get everything done then go for it. There is no good or bad option for this. It's all on the situation on hand. Both thing have there goods and there bad ,but it is up for these school departments to know if it will help the student or make it worse than it was already. ",". Attending a class online at home is a great way to stay on pace and not fall behind because all of the information is at the student's fingertips and they can complete their tests and assignments when they are ready and able. Forgetting to turn in work can hugely affect a students grade, but with the help of online courses, a student can have easy access to their projects and assignments without having to worry about their grade dropping over a simple misplacement.. Take a quick break"
18,18,So in the storu it talks about going to diffrenet places in our solar system so in the story it talks about how some plants can actually hold humans in it cuase it has the same things this planet has but not all of them. So they where talking about a planet in particular venus a planet right next to us we can have a spaceship go there. they talk about some of venus things like how hot it is the planet reaches 800 degrees. ,"I agree with the author in this claim because if humans can explore Venus, I also believe we can go on to do bigger and better things with exploring our solar system. The author of this article is avoiding all of these mainstream problems by simply saying it's worth the risks, when it actaully is not."
19,19,"technoloy floods our brain, meaning there is so many inventions it just brainwashes us. We can use photo I.D. now for getting on to our phone. There are mixed emotions when we do show our personality, the techonolgy recognizes it. So we can change everything so someone says, ""the facial expressions for each emotion are universal,"" observes Dr. Huang. The mona lisa drawing is suppose to bring a smile to everyones face.  So people are still wandering what the mona lisa represents, the mona lisa represents art and beauty. There is a song called mona lisa, and its kinda a love song, saying your my mona lisa baby. So i think the whole idea of this song is to show that the mona lisa is a thing of beauty it represnts more than just beauty.  What else does it represent, well does your expression in the mirror suggest an emotion? Do you feel mad or sad. if you felt sad and you were crying and you went to the mirror and looked in the mirror, what would you see in yourself because down deep inside if thing yuo incredibly hurt. Can your lab partner recgonize which emotion you are doing? yes there is a doctor for that. there are so many emotions you dint even know throughout the day. ",What is the future of technology in the 21st century? What are some of the possible dangers it will bring to our society in the future? Who is the creator of the Facial Action Coding System? What is an example of this?
20,20,Let me tell you the things that would change of limiting car usage. ,". the amount of greenhouse gas emissions being emitted into the world.. people all over the world are paying attention to what they can do to help the environment, meaning that this is an advantage that will appeal to a widespread audience."
21,21,"Because whats the point of all of our parents and alot of other adults of voting if we can't even get what we want but no it's all up to the electors and congress, ect. like for real what is the point in voting if it isn't a fair shot. ","We are not actually voting to ellect a president, we are voting for electors, who elect the president. In doing this you are having a fair vote in the election with everyone who is eligable to vote, voting whomever they please"
22,22,i agree ,"the electoral college is unfair to voters. unfair, outdated, irrational. I strongly feel that we need to change to an election by popular vote for the president of the United States of America. Richard Nixon, Jimmy Carter, Bob Dole, the U.S. Chamber of Commerce, and the AFL-CIO all agreed on one thing, and it was aboloshing the Electoral College"
23,23,The consequences should be very big for being on a cell phone or let alone bringing a cell phone to school. Students should at least have a detention or even an in school suspension. Students need to know their boundaries and what happens when they cross them. Discipline is a great way to turn students off their cell phones ,"If cell phones are banned from drivers, why should they be allowed in vital places such as school and the workforce? What are the consequences of cell phones while driving? What is the best policy to ban cell phones in school? What do you think the second policy should be?"
24,24,like the one we have today. ,"The author states that Venus is often referred to as Earth's ""twin"" because Venus and Earth are close in size, density, and at some points in orbit are the closest planets in the solar system. It is also believed that at one point, Venus was a lot like Earth is now."
25,25,They are trying to said that they want to invent a computer that knows when are you happy and when you are sad or angry and other caind of emottions.  each they there are trying to have new tecnology and new stuff they have to see whats goin on in that they have to do what they have to do.  Other peopl;e dont like to see other people expressions because they get enoy from seeintg them.  They are seeing video games and trying to see what can they do to modofy them . ,"The author of this article talks of how it will improve ad placements by whether you smile or frown, however I know for a fact social medias, especially Facebook, are already basing information on preferable ads by just what material you look at. Why is it necessary for..."
26,26,Some people thinks its funny to watch other contenets to bein war. ,Think about your conquences. Think about the possible outcomes. Ask for more people's opinions. Consider asking for a second opinion. Think of it like a doctor. Ask people to give you advice about what type of people you should be around with
27,27,I disagree.  ,"I agree with the Electoral College despite the lack of ""democratic pedigree"" for five reasons. In conclusion, I strongly feel that we need to change to an election by popular vote. Above all, it is more fair to the people. Citizens would feel that their votes matter more than they do now. People would have to be worried about if the electors would flip on what they had voted for."
28,28,"This painting is was made a long time ago. Many people found this painting weird because, back then there wasn't a lot of people happy, also poor. So when you see this picture this girl is happy and looks like she has nice cloths on. People took this picutre into inspiration. And brought a lot to the picture. ",(5). See how famous that face was 25 years ago is amazing but it still doesn't mean it was a alien made artiffact. No matter how cool it would be if it was not to mention that it could make NASA famous or rich it just doesn'T have the proof you need to be a...
29,29,My therd reasion is if you make it be useable on animals then we can uncover a lot of mysteryes ,"The author supports the idea that studying Venus is a worthy pursuit even with the dangers it presents. The author also rebuttals one of the main concerns for traveling to the planet by explaining how plans are being developed to make travel and living conditions surviveable, safe, and efficient"
30,30,to help with all the dier need that the world has to offer for the Electoral College just dont get rid of it for no reason you need to have a really great suggestion to remove it out of the system. ,"The Electoral College should be abolished for the matter of the voter and the United States of America. In my opinion we should be allowed to vote on our own, for example instead of voting for an elector we should just vote on the type"
31,31,The electoral college requires a presidential candidate to be choosen. ,"The Electoral College is widely regarded as an anchronism, a non-democratic method of selecting a president that ought to be overruled by declaring the canidate who receives the most popular votes the winner"
32,32,Finally I think If we could choose the president it would be better becuse the people would get what they want ,"If we could choose the president it would be better becuse the people would get what they want context: It would then go to the House of Representatives, who might not even have the want of the people in mind. Since most of the time Congress has a party that makes up a majority of it,"
33,33,I don't believe a technology can identify human emotions ,"I don't believe a technology can identify human emotions. context: While there are many positives to this technology some might argue that computers cannot actually calculate human emotion. They argue that human emotion is not somehting that can or should be understood because it would ruin the entirety of feeling certain ways.. The technology is able to identfy a human's true emotions, but that will not alter the way that person feels.."
34,34,"when they lying too, becuase some students dont like to show or describe how they feel. not just on students we should use it on we should use it on friends and family too. we need to know how to help people if they upstet to cheer them up, or if there happy we need to know what made them happy. ",". They may lie about not doing their homework or be untruthful about whether they were involved in a fight. The FACS machine could solve that issue as it is able to determine whether someone is lying or not based on their expression which is stated in the quote, ""To an expert, faces don't lie; these muscle clues are sometimes used to spot when a ""smiling"" politicain or celebrity isn't being truthful."""
35,35,but that is an opion.  Their are meany rational reasons about why the Electoral College is benificaial rather then destructive. ,"but that is an opion. Their are meany rational reasons about why the Electoral College is benificaial rather then destructive. I have stated two contentions of why you should abolish the Election College; First,the method of how its done is very bias and unfair and secondly,because the  electoral college is a ""Disaster Factor"""
36,36,if the NASA cameras did not see any people/aliens. On that fact if NASA did see any aliens on Mars they would have kept it top secret and wold have not showed the images to the world ,If NASA did not see any people/aliens on Mars they would have kept it top secret and wold have not shown the images to the world context: Those who believe in aliens building the face on Mars might srgue that NASA is secretly holding evidence that there theories are correct.
37,37,"Therefore, I agree with what the passage is saying because it says ''The Electoral College consists of 538 electors. A majority of 270 electors votes is required to elect the President. Your state's entitles allotment of electors equals the nu,ber of memebers in its Congressional delegation: one for each member in the House of Representatives plus two for your Senators.... ","I propose a new system by only letting the American people select our president by votes counted all up by each state, for example if we didn't have have electoral college, then it would be a fair vote because people votes would count the number that adds up with all votes for one candidate that will oppose another candidates and there would be technically no tie"
38,38,"According to paragraph three of source one , the Electoral College consist of five hundred and thirty-eight electors . A canidate has to earn two hundred and seventy of those votes . ","The Electoral College consists of 538 electors. A majority of 270 electoral votes is required to elect the president. The popular vote can get tied up pretty easily, but it is a lot harder for the electoral votes to get tied"
39,39,"Venus is our sister planet. Some call us twins because of the sizes we both have. But, Venus is the closest to the sun like Mercury is the first panet next to the sun. So Venus is the warmer part of our sisterhood, and Earth are the cold part of our sisterhood. It's sort of like Venus is Anna because of her warm personality. And earth is like Elsa, because of her frozen powers, so she is extremely cold when it comes down to things. Earth at the moment is like Elsa because of its winter landish time of the year. ","""The Challenge of Exploring Venus"" states, ""Astronomers are fascinated by Venus because it may well once have been the most Earth-like planet in our soloar system. It is also believed that at one point, Venus was a lot like Earth is now."
40,40,"""Evening Star"" this article state in, venus is one of the brightest points of light in the night sky,making it simple for even an amateur stargazer to spot.  ""Twin"" this article state in, venus is the closest planet to Earth in terms of density and size, and occasionally the closest in distance too.  ""The venus blanked."" The article state in the venus atmospere have almost of 97 percent of carbon dioxide.  ""Venus surface."" the article state on the planet's surface, temperatures average over 800 degrees fahrenheit, and the atmospheric pressure is 90 times greateer than what we experience on our own planet.  The article essay, thia articlo explain about ""The challenge of Exploring Venus""  venus is a planet nd look like a star because brightes points of light in the nigth sky, and tambien is a ""twin"" is the earth's twin, venus is it really closest at the eart and tambien look similar in the size and in the density, tambien look are similsr in the distance.         ","The author does a good job by using facts and perfectly thought out ideas. Although Venus is an extremely dangerous planet packed with many reasons as to why exploration is currently held back, NASA is still looking for ways to be able to gain more valuable insight about the Evening Star."
41,41,"In source 2: the indefensible electoral college: why even the besy-laid defenses of the system are wrong states ""because of the winner take all system in each state, candidates dont spend time in states they know they have no chance of winning, focusing only on the tight races in the 'swing' states."" ","The Electoral College is unfair, outdated, and irrational because ""candidates don't spend time in states they know they have no chance of winning."" This means that the candidates focus on the ""tight races in the'swing' states."" To continue, Plumer also argues that changing to election by popular vote makes every vote count"
42,42,"This 'Face' isn't a landform, its a lifeform. ","Aliens never made the Face of Mars and now they are saying that there is a face on Mars. Humans all around the world have questioned whether the ""Face"" was created by aliens or just a natural landform"
43,43,"After you ask the people you wanted to ask for advice, your going to have to make a decision. Before you make a decision, you are going to have to think of the consequences. Consequences are the outcomes of your choices that you decided to make. There can be good consequences and then there can be bad ones. The bad consequences depend on the situation that you are going to be in or is already there. You have to think,"" If I do that what is going to happen. Is it positive or is it going to be negative."" Normally, people always go for the peaceful choice so their can be less problems. People also make choices everyday on what to eat, wear, and when they should do their papers. ",Ask more than one person for advice. Ask multiple people for advice. Ask for advice from multiple people. Talk to more than 1 person. ask for advice to make a better choice. talk to many different people for help.
44,44,Getting more opinions can help you because it can get you more advice and by getting more advice helps the person asking know more. What does it help by asking more than one person it can get you get you more advice just in case you did not know. ,". Getting more than one opinion can be very helpful since it gives you more outlook on the question at hand. Seeking multiple opinions will help them decide which opinions they would prefer to help them pick from. This person could have a number of options to decide from so that they will get more ideas for the advice they could recieve. Asking for advice from one person is not a very good way for getting opinions, because that person will not have as many options as a great deal of people could have. The person getting advice should not decide on one person to get opinion from because they might not get as many ideas as they would like to get."
45,45,"Venus is a very dangrus planet its ben proven, not one human has lasted more than a few hours floating above the fray,its been more than three decades since a space ship has tuched venus but ","Venus is a very dangrus planet its ben proven, not one human has lasted more than a few hours floating above the fray,its been more than three decades since a space ship has tuched venus but context: When discussing the exploration of Venus, most people are turned off by its reputation as a dangerous and challenging planet for humans to study"
46,46,I think it is a good thing then all you will have to do is say to your computers how do i feel today it will say to you ,"Use FACS in classrooms. Ask someone how they are. Ask for advice Talk to a trusted person. Talk to someone who will help you. Imagine technology that seriously works for you, not only at home but also in the classroom."
47,47,"If you don't want to make all the kids in the school do community service, then i think you should put up a sign up sheet for students who want to so they can sign up, and have a day or two every week were they leave school for a couple hours to go do some community service with some teachers that volunteers also.  ","I think you should put up a sign up sheet for students who want to do community service so they can sign up, and have a day or two every week were they leave school for a couple hours to go do some community service with some teachers that volunteer also."
48,48,NASA is working on a lot of different approaches on how to last a while or have a good landing on Venus. ,"The author gave an entire paragraph about the new technologies that NASA is working on to explore Venus, even though his main idea is about why we should send shuttles to Venus. In paragraph 7, it states that NASA are working on other approaches to studying Venus, and that it is possible and worthy of doing so. One project is looking back to an old technology called mechanical computers. ""By comparison, systems that use mechanical parts can be made more resistant to pressure, heat and other forces,"" (7)."
49,49,I have done research ,Give students the freedom to design their own project. Allow students to explore new interests. Encourage students to create their own projects with individuals whom they spend their time with during the summer. Encourage student-designed projects to have a genuine interest in the project they are completing.
50,50,I hear you are trying to make a decision on whether all students should be required to perform community service. ,"I have read and heard your argument about all students taking place in community service by mandatory rule. No disrespect to you sir, but I have to firmly disagree with this idea. I think you should require all students to perform community service because many students laze around with nothing to do, when they could be helping the community."
51,51,Its like the man it the moon it is just a landscape it is nothing big at all. By saying that it is an alien people today would probally believe that it is true they would go crazy. ,"The author states that scientists figured it was just another Martian mesa when the face appeared. This shows that they have seen things like this before and they knew that it wasn't real, or alien like. Another example that the author proves is that Garvin said it reminded him of Middle Butte in the Snake River Plain of Idaho"
52,52,"No one should force you too do anything that is outside of your comfort zone except your parents, they can force you to do anything they need you too do. Other than your parents and family members,no one should even think about forcing you to do something because that is just a horrible thing to do. unless they have permission from your parents, I don't think that they should be able to tell you that you can or can't do extracurricular activities because that would'nt be fair to the people who actually enjoy them. As for the rest of us, we'll be fine her as long as we don't have to do any pointless extracurricular activities. So to answer the question, would you like to have to do an extracurricular, No! not at all, but some people might ","No! not at all, but some people might context: Going out of your comfort zone can really help you feel better about yourself, and not just keeping to yourself. Other than your parents,no one should even think about forcing you to do something because that is just a horrible thing to do."
53,53,we should be able to pick and choose what's in our schools ,"Students should be able to choose whether they would like to participate in extracurricular activities because it can decrease the quality of the clubs, create unhappiness among students, and cause students to be even more busy and leaving students unavailable for other non-school related activities"
54,54,"FACS can classify six basic emotions happiness, surprise, anger, disgust, fear, and sadness just by seeing the the movements of your facial muscles. ",. The machine is able to determine whether a student is in distress or not thus telling the teacher to help the student out with the problem that they are facing. This is not the end though of what this incredible machine can do for a school
55,55,"This way it will teach the students that they shouldn't litter and that it is bad, and damages a lot of our property and if they do it they will have to pay for what they have done and suffer a big punishment. For example if someone throws a drink bottle on the ground it is there responsibility and they should clean it up. ",Make the activities seem more like a hobby instead of a chore.. Build character. Make students more responsible to the school. Make people more responsible. Make bad people less likely to get reprimanded for doing something bad.
56,56,If the principle were to make this rule then everyone wouldnt be as lazy. ,"If the principle were to make this rule everyone would not be as lazy. If we teach children to help out now they won't be lazy in the future. If the automobile manufactorers release a car that drives itself, that will just be one more thing that the lazy americans do not have to do. If this would probably only happen for a couple of years or sport seasons but after awhile everything would be back to normal and it would be just like anything else in the world and people would begin to grow to the B average rule"
57,57,A magority of 270 elctors votes are reqiured. 3 Electors and treated like a state of purpose. Running for president has their own group  of elcetors. Help choose the states electors when you vote for canidate. Governer prepares a Certificate of Ascertanaiment. ,"I propose a new system by only letting the American people select our president by votes counted all up by each state, for example if we didn't have have electoral college, then it would be a fair vote because people votes would count"
58,58,"Everybody is different most people that read somebody's emotion is because there a love one or a every good friend and they can read your emotion. There is just other people that don't care. Most people should be able to see if your angry, sad or happy. Those emotions are easy to see, kids show it all the time even when there not feeling so good. ",Understand that everyone has different opinions. Understand that there are no two people that look the same. Know that people with different backgrounds will differ in opinions. Learn that everyone's point of view will be different. Understand the importance of asking multiple people for advice
59,59,"You are helping them by choosing wich president will help them and thier family have a better life. The citizens know what they need, they know if Obama is going to help them or not. They know who to vote for because they are providing what they need to live good life. If more citizens vote ofr one president then another, gues what? You just helped more then half of the us a citizens because they knew wich president helped them more. The trouble is out here and you can only fix it with us.  ","The Electoral College is the best way of picking the right president and doing it right. If you pick your president by a popular vote it would only lead to a disaster. In our world we need a method like this one that will guide us to make the right desion and something as imporatant as our President,"
60,60,In 1976 Viking 1 took a photo of formations on mars. The picture looked like a face so the people of the world thought oh my god. Aliens invaded mars and they will invade us run ,"In 1976, Viking 1 took photos of Mars and found a huge rock formation that remebled a human head with shadows giving the illusion of eyes, nose, and mouth. This was soon to be known as the ""Face on Mars"""
61,61,I think there is some good things about the Electroal College but some things I do not agree ,"I think the Electoral College system is unfair to the voters of the U.S. State inequality, diaster, ties, and people loosing the urge to vote. I do not think driverless cars are a good idea for the safety of our generations."
62,62,There are advantages to this way of life ,"Less car usage will help the enviroment as well as lower stress. ""Transportation is the second largest source of America's emmisons."" (Source 4). By eliminating uneeded car usage and introducing more public transportation and alternate means of transport we will be eliminating one of the greatest causes of greenhouse gas emissions in America. The advantages of eliminating car usage is less pollution, healthier living and a less stressful life."
63,63,but if this is not a face what is it? That's what your thiniking right. We had to find out ,"NASA's Viking 1 spacecraft has found something while circling Mars. But what is it, they have seem to have found a face formed into the rocks. Is this new discovery actual or is it just another rock formation on Mars. The believers and the non-believers of the face on Mars are waiting anxiously to find out what it is."
64,64,The author has different details and has found them. ,The author does a good job by giving numerous details and supporting his ideas.. The author went too far into detail about the dangers that can come from studying Venus and di not have evidence of how it would be safe and possible at all.
65,65,"because you are adding and subtracting only 538 people, but if you are counting from popular votes you would have to add up millions and billions of votes that would be miscounted. If it's miscounted the wrong person could be elected for president.            ",The Electoral College system is flawed because there are millions of people in America and yet only 538 votes are counted. It is still possible to have a tie though since there are 538 total votes and since that is an even number then it can happen.
66,66,As you can see cell phones are ,What are the main reasons for cell phones being banned from drivers?. Understand that cell phones are an everyday object that is addictive and is used for the majority of a day. Understand why cell phones pose a great risk to driver's. Recognize the importance of cell phones. Understand the dangers of using cell phones
67,67,"And yet, it is still how president after preseident is put into the Oval Office- sometimes wrongly as explained above. ","The Electoral College should no longer decide the president based on the possibility of a tie, the possibility for betrayal of trust and disputes due to how close the votes are. The system should change to where the popular opinion should decide on the president of the United States of America"
68,68,"How would they survive and humans can not. In paragraph nine it discribes how hard it was to even get a picture of this face. If its very hard to get a good glimpse of this image. Its going to be struggle to live and be active on Mars as well. This has to be a natural landform that happens to looks like a face. If someone really did this, they would want credit and all the fame for all their hard work and i think we would have spotted them all ready. ","Venus is too dangerous for humans to explore and it is a waste to send a spacecraft to land on this cloud-draped world, but they would experince ""temperatures that would still be toasty at around 170 degrees Fahrenheit, [and] the air pressure would be close to that of sea level on Earth"""
69,69,"It might even make some people turn against their country, but that only goes for the people who are really into politics and voting and things of that nature. People say you can't complain if you don't vote, but if they take that perivlage away, I'm sure you'll be hearing even more complaining than if people have the right to vote, but even so, this up and coming generation isn't really into voting anyways, but it should be avalable regardless. ","The electoral college system allows for the government to be run by men who didn't fairly win over our country, and isn't accurately representing our views. It's rife with corruption, and allows money to buy power"
70,70,Other teenagers might think that it is all fun and games ,"Doing an extracurricular activity would take away time from other things that they need to do, or things they want to do.. Doing extracurricular activities get you out of your comfort zone and makes you feel just open and wanting to talk to people. Make friends Make friends with other teenagers Make friends make friends with people who share a common interest with you"
71,71,This a one time offer. You don't know how long this opperation will be running. ,Don't do community service Do not do a project Do not rush projects Do not have to worry about getting up in time for the bus Do not take a three month break Take a break from school Do not be impulsive
72,72,"First off, Mona Lisa is mostly always happy and she wanted to come up with a way to see if a lot of school students are happy or just faking there happiniss and hiding there real emotions. ","This technology can also be implenmented in many spheres of life, including in the classroom. Students may also use this feature in art classes to really capture what the artist was depicting in the work. For instance, this new software was able to create percentages of Mona Lisa's emotions."
73,73,Students should have the same rights as teachers or any adults. The constitution says that all people are created equal. That should give students the right to bring cell phones to school ,Give students the right to bring their phones to school. Put cell phones down and ask each other how they are. Banning cell phones in schools at all times. Give cell phones to students in case there is an emergency. Give students an Internet connection on their phones.
74,74,i mean yes theres alot of bandwagon fans and people who really have no idea of whats going on in their country ,"i mean yes theres alot of bandwagon fans and people who really have no idea of whats going on in their country context: If there was no Electoral College people with no actual idea of WHATS going on would vote, and that could have a negative affect"
75,75,It could be possible but we will have to wait to find out. ,It could be possible but we will have to wait to find out what it is. Is this new discovery actually a face or is it just another rock formation. The believers and the non-believers of the face on Mars are waiting anxiously
76,76,In the begin in the story it talks about how she had 83 percent happy and 9 percent digusted smile and 6 percent fearful and 2 percent angry. And that her science teacher had graded her latest lab assignment. And that mona lisa at least according some new computer of showing her emotions. ,Why is it necessary for a program to constantly scan our face just to see if we like something or not? This gives the computer so much power of constantly knowing what your exact emotions are on everything. It is just so unnecessary that it causes one to question why in the world would we risk giving computers that kind of power
77,77,That cannot be true becasue if the aliens were hidden we would not have such a great picture of the faces. That completly shows that there is proof that this face is just a natural landform. ,"The author states that scientists figured it was just another Martian mesa when the face appeared. This shows that they have seen things like this before and they knew that it wasn't real, or alien like. Another example that the author proves is that Garvin said it reminded him of Middle Butte in the Snake River Plain of Idaho."
78,78,"No ones life should have to be put on the line to explore a diffrent planet. I personally think its a great idea. As said in the passage ""Our travels on Earth and beyond should not be limited by dangers and doubts but should be expanded to meet the very edges of imagination and innovation.""         ","I personally think its a great idea. As said in the passage ""Our travels on Earth and beyond should not be limited by dangers and doubts but should be expanded to meet the very edges of imagination and innovation."" context: People are facinated with the Man on the Moon and the idea of Martians, but most people do not think about life on Venus. However, studying this planet is made difficult by the dense and toxic atmosphere, high temperatures, and violent weather."
79,79,You have the best food out there too ,Make a pro and con check list. Ask others for their opinions. Ask for multiple opinions. Use multiple answers. Learn from others. Don't be lazy. Do community service. Do a community service Ask others where they want to go.
80,80,If the eclectoral college leads to a tie our votes become the tie braker but that method has never been use so why are we even voting? ,If the eclectoral college leads to a tie our votes become the tie braker but that method has never been used so why are we even voting?. The electoral college basically throws away your votes and replaces them with theirs
81,81,"America was made to give people freedom, so people being able to pick the pesident is a big part of our freedom, and taking that away leaves us with not as much say in big desions such as a presidental election. The people that would probably complain the most is older people because they are use to being able to vote, and taking that away would get them angry I'm sure, and the people complain louder than they do praise. ",Why should the Electoral College have more power than all of the people of the United States; they shouldn't. Why does one canidate always get all the electoral college votes from one state? Why can't we just revert to how many votes the canindate gets?
